温馨提示,#genre#
明珠剧集台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gczzeI&tk=jcmngPC64ClK
黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Zjtxbi&tk=jcmngPC64ClK
美亚电影(台湾),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=0QmwGT&tk=jcmngPC64ClK
Now星影台(国语),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tWBqt5&tk=jcmngPC64ClK
Now爆谷台(国语),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=sAlvKS&tk=jcmngPC64ClK
TVB功夫(国语),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9D5KSp&tk=jcmngPC64ClK
TVB星河(国语),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kJoW9j&tk=jcmngPC64ClK
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=OGEGTZ&tk=jcmngPC64ClK
TVB金曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NmA9Bv&tk=jcmngPC64ClK
TVB奖门人,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gbgwlS&tk=jcmngPC64ClK
黄金华剧台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=PUxNe2&tk=jcmngPC64ClK
PopC电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=uMFqam&tk=jcmngPC64ClK
中旺电视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EWX20E&tk=jcmngPC64ClK
中视新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=d3Lwul&tk=jcmngPC64ClK
寰宇新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=xNL2QD&tk=jcmngPC64ClK
中天新聞,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QWD9GU&tk=jcmngPC64ClK
TVBS,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1IXyDV&tk=jcmngPC64ClK
极限电影台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kLkQuf&tk=jcmngPC64ClK
彩虹K台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=oz0oRm&tk=jcmngPC64ClK
松视3台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jJaX7f&tk=jcmngPC64ClK
香蕉台HD,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=awfqxx&tk=jcmngPC64ClK
香港卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=O9B8Y5&tk=jcmngPC64ClK
莲花卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pdanps&tk=jcmngPC64ClK
环球电视台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Es58ff&tk=jcmngPC64ClK
香港环球卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=z3oZMq&tk=jcmngPC64ClK
亚洲卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YOdtVo&tk=jcmngPC64ClK
亚太第一卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yW3P3E&tk=jcmngPC64ClK
华文卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=uE13SS&tk=jcmngPC64ClK
1905电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WynvwU&tk=jcmngPC64ClK
1905环球,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=cMyyiV&tk=jcmngPC64ClK
重温经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=p6e92d&tk=jcmngPC64ClK
Y+剧场,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wLTQad&tk=jcmngPC64ClK
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6Qcbt9&tk=jcmngPC64ClK
翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CsGyHZ&tk=jcmngPC64ClK
无线华丽台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2MavgO&tk=jcmngPC64ClK
明珠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=natYz5&tk=jcmngPC64ClK
星河,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gBdOzf&tk=jcmngPC64ClK
娱乐新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vugnFt&tk=jcmngPC64ClK
无线千禧台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GYiQjC&tk=jcmngPC64ClK
RTHK-31,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=0BjL02&tk=jcmngPC64ClK
RTHK-32,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fgEr9l&tk=jcmngPC64ClK
VIUTV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fOyi6z&tk=jcmngPC64ClK
VIU6TV,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fIesIn&tk=jcmngPC64ClK
美亚电影(香港),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=aFRBbP&tk=jcmngPC64ClK
天映频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GlD9Cv&tk=jcmngPC64ClK
天映经典,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=t6V20y&tk=jcmngPC64ClK
Astr爱奇艺,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vfbBdJ&tk=jcmngPC64ClK
AstrQJ,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LMv2E7&tk=jcmngPC64ClK
Astr-AoD,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Lnk6Si&tk=jcmngPC64ClK
AeC,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CrKfS3&tk=jcmngPC64ClK
Astr,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YSz1hn&tk=jcmngPC64ClK
TVBPlus,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=bs6dPB&tk=jcmngPC64ClK
极速央视,#genre#
CCTV1,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XVLCsw&tk=jcmngPC64ClK
CCTV2,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2zh3Sl&tk=jcmngPC64ClK
CCTV3,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=brmubk&tk=jcmngPC64ClK
CCTV4,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=q7vN93&tk=jcmngPC64ClK
CCTV5,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6XsPiB&tk=jcmngPC64ClK
CCTV6,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=oqaPxp&tk=jcmngPC64ClK
CCTV7,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=prxKYz&tk=jcmngPC64ClK
CCTV8,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dNqFWC&tk=jcmngPC64ClK
CCTV9,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=RePyY3&tk=jcmngPC64ClK
CCTV10,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5ma1vn&tk=jcmngPC64ClK
CCTV11,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=IWTKbp&tk=jcmngPC64ClK
CCTV12,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=oUqYVt&tk=jcmngPC64ClK
CCTV13,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3WolYW&tk=jcmngPC64ClK
CCTV14,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gpTnH9&tk=jcmngPC64ClK
CCTV15,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=InNaNO&tk=jcmngPC64ClK
CCTV16,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gU86T3&tk=jcmngPC64ClK
极速卫视,#genre#
广西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HOY56J&tk=jcmngPC64ClK
海南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=J10Kdh&tk=jcmngPC64ClK
河南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=M3Udv6&tk=jcmngPC64ClK
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=K8eVoN&tk=jcmngPC64ClK
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ju29R0&tk=jcmngPC64ClK
怀旧剧场,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=JVvjRL&tk=jcmngPC64ClK
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GUTinV&tk=jcmngPC64ClK
数字电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=a7IhIz&tk=jcmngPC64ClK
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MwS5nh&tk=jcmngPC64ClK
四川卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=tnG6bQ&tk=jcmngPC64ClK
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=f9N1CW&tk=jcmngPC64ClK
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jtkSM5&tk=jcmngPC64ClK
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Rb6hzR&tk=jcmngPC64ClK
东方卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2qPZQe&tk=jcmngPC64ClK
北京卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2Ljq94&tk=jcmngPC64ClK
江西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yYOPbT&tk=jcmngPC64ClK
山东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=JHBJ44&tk=jcmngPC64ClK
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=A2t9ck&tk=jcmngPC64ClK
天津卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4EPNdC&tk=jcmngPC64ClK
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CyQ9yn&tk=jcmngPC64ClK
河北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eP77UO&tk=jcmngPC64ClK
山西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pXReh6&tk=jcmngPC64ClK
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pyu765&tk=jcmngPC64ClK
内蒙古卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=SmjzfN&tk=jcmngPC64ClK
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6YfSIN&tk=jcmngPC64ClK
西藏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=N1XtS6&tk=jcmngPC64ClK
新疆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MAKmdo&tk=jcmngPC64ClK
云南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HgDCGC&tk=jcmngPC64ClK
宁夏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FZiSZr&tk=jcmngPC64ClK
甘肃卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=7PYB1H&tk=jcmngPC64ClK
东南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=3mWAE0&tk=jcmngPC64ClK
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=sGnPOd&tk=jcmngPC64ClK
极速广东,#genre#
广东大湾区,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WTpWoJ&tk=jcmngPC64ClK
广东民生,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Xk1qVj&tk=jcmngPC64ClK
广东戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=l4iK7I&tk=jcmngPC64ClK
广东少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QMcT8g&tk=jcmngPC64ClK
广东体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TRAiio&tk=jcmngPC64ClK
广东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Bl9hF5&tk=jcmngPC64ClK
广东新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BueDUV&tk=jcmngPC64ClK
广东影视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=bgvdOP&tk=jcmngPC64ClK
广东珠江,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vCZTqD&tk=jcmngPC64ClK
广东经济,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=UtWnd9&tk=jcmngPC64ClK
深圳都市,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=boe436&tk=jcmngPC64ClK
汕头综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=yB8NrB&tk=jcmngPC64ClK
汕头经济,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=H6Btek&tk=jcmngPC64ClK
揭阳综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nVuWvL&tk=jcmngPC64ClK
揭阳生活,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZzIKiO&tk=jcmngPC64ClK
广州综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eGdsjq&tk=jcmngPC64ClK
广州新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EuKQAW&tk=jcmngPC64ClK
广州法治,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=AN316H&tk=jcmngPC64ClK
广州都市,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=epCSRj&tk=jcmngPC64ClK
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=bla7mA&tk=jcmngPC64ClK
深圳都市,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=nTWWTD&tk=jcmngPC64ClK
深圳电视剧,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eCTljl&tk=jcmngPC64ClK
深圳财经生活,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=aOFl94&tk=jcmngPC64ClK
圳少儿频道,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=AJzueI&tk=jcmngPC64ClK
深圳移动,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ZTRcEs&tk=jcmngPC64ClK
深圳宜和购物,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Nuyy37&tk=jcmngPC64ClK
深圳国际,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MMcCfs&tk=jcmngPC64ClK
广州综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=88ne5J&tk=jcmngPC64ClK
广州新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=z4VOcT&tk=jcmngPC64ClK
广州影视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=k0S1Tw&tk=jcmngPC64ClK
广州法治,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=JP7Lhu&tk=jcmngPC64ClK
广州南国都市,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ckrYwp&tk=jcmngPC64ClK
广东频道,#genre#
CCTV1-综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=L7RUdM&tk=jcmngPC64ClK
CCTV2-财经,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wYzVkJ&tk=jcmngPC64ClK
CCTV3-综艺,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YYXW5L&tk=jcmngPC64ClK
CCTV4-国际,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MXThRu&tk=jcmngPC64ClK
CCTV5-体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9KxW43&tk=jcmngPC64ClK
CCTV6-电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=TT6qtk&tk=jcmngPC64ClK
CCTV7-军农,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=r4Db0V&tk=jcmngPC64ClK
广东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=2ahQpc&tk=jcmngPC64ClK
广东珠江,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=qkiIU4&tk=jcmngPC64ClK
广东新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GxXM7C&tk=jcmngPC64ClK
广东民生,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=CTqr8K&tk=jcmngPC64ClK
广东体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Zxk200&tk=jcmngPC64ClK
CCTV13-新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Vsw5Dr&tk=jcmngPC64ClK
CCTV10-科教,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=6UjLNW&tk=jcmngPC64ClK
CCTV12-社会与法,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Yn7ROc&tk=jcmngPC64ClK
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eoI2uf&tk=jcmngPC64ClK
CCTV8-电视剧,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Da5vCG&tk=jcmngPC64ClK
CCTV9-纪录,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jT19DI&tk=jcmngPC64ClK
CCTV15-音乐,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HHAtoJ&tk=jcmngPC64ClK
惠州综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=g2Bwym&tk=jcmngPC64ClK
CCTV11-戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eGSroj&tk=jcmngPC64ClK
CCTV14-少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=39CyD9&tk=jcmngPC64ClK
CCTV-16-奥林匹克,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=c6bvN8&tk=jcmngPC64ClK
CCTV17-农村农业,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GYCbsE&tk=jcmngPC64ClK
广东经济科教,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GCOfup&tk=jcmngPC64ClK
大湾区卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vk27DU&tk=jcmngPC64ClK
广东影视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dSTN3v&tk=jcmngPC64ClK
广东少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=SdY9ZT&tk=jcmngPC64ClK
嘉佳卡通,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=enIRPL&tk=jcmngPC64ClK
惠州都市生活,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=MjyVvk&tk=jcmngPC64ClK
岭南戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=R4LQK4&tk=jcmngPC64ClK
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Ic7sV4&tk=jcmngPC64ClK
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=1x8ZGG&tk=jcmngPC64ClK
东方卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LN6hUt&tk=jcmngPC64ClK
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=NyG5M2&tk=jcmngPC64ClK
北京卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pWtel1&tk=jcmngPC64ClK
天津卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=e8410B&tk=jcmngPC64ClK
山东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fRhFm2&tk=jcmngPC64ClK
江西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iLiyC7&tk=jcmngPC64ClK
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KSqtv4&tk=jcmngPC64ClK
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=bHplRZ&tk=jcmngPC64ClK
辽宁卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zejcmw&tk=jcmngPC64ClK
黑龙江卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=cV4Of1&tk=jcmngPC64ClK
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Bbko9d&tk=jcmngPC64ClK
四川卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=EvLnf8&tk=jcmngPC64ClK
河南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dlPcQj&tk=jcmngPC64ClK
云南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=FeOThu&tk=jcmngPC64ClK
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KqvEWZ&tk=jcmngPC64ClK
河北卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=LfSIQP&tk=jcmngPC64ClK
东南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=jXeItZ&tk=jcmngPC64ClK
广西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=cwUPxX&tk=jcmngPC64ClK
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=P1RXZN&tk=jcmngPC64ClK
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=D7WUfj&tk=jcmngPC64ClK
山西卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4ePAlB&tk=jcmngPC64ClK
内蒙古卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vykUhO&tk=jcmngPC64ClK
青海卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=H5Guxt&tk=jcmngPC64ClK
海南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=HQX3hl&tk=jcmngPC64ClK
宁夏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5V447a&tk=jcmngPC64ClK
西藏卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=W1ftvI&tk=jcmngPC64ClK
新疆卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=zRmZxM&tk=jcmngPC64ClK
甘肃卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dYgZeJ&tk=jcmngPC64ClK
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=57nUvF&tk=jcmngPC64ClK
卡酷动画,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WRzZIm&tk=jcmngPC64ClK
金鹰卡通,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=c1J50I&tk=jcmngPC64ClK
广东阿里,#genre#
CCTV1-综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=9sJEp2&tk=jcmngPC64ClK
CCTV2-财经,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=YMRzFl&tk=jcmngPC64ClK
CCTV3-综艺,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=z3aM8a&tk=jcmngPC64ClK
CCTV4-国际,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gcfjGl&tk=jcmngPC64ClK
CCTV5-体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=ruYq2P&tk=jcmngPC64ClK
CCTV6-电影,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Qewy0O&tk=jcmngPC64ClK
CCTV7-军农,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XN2Lmc&tk=jcmngPC64ClK
广东卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=g9ja5g&tk=jcmngPC64ClK
广东珠江,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=5IVQSU&tk=jcmngPC64ClK
广东新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=kvNLOv&tk=jcmngPC64ClK
广东民生,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=sPOdWl&tk=jcmngPC64ClK
广东体育,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iEvOsJ&tk=jcmngPC64ClK
CCTV13-新闻,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=STGgiO&tk=jcmngPC64ClK
CCTV10-科教,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=id5V8D&tk=jcmngPC64ClK
CCTV12-社会与法,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=j9lEoh&tk=jcmngPC64ClK
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=4JniGA&tk=jcmngPC64ClK
CCTV8-电视剧,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Spexxw&tk=jcmngPC64ClK
CCTV9-纪录,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=Z0JosR&tk=jcmngPC64ClK
CCTV15-音乐,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GErUeR&tk=jcmngPC64ClK
惠州综合,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=lekBA2&tk=jcmngPC64ClK
CCTV11-戏曲,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=oUfsC5&tk=jcmngPC64ClK
CCTV14-少儿,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=iNqfy0&tk=jcmngPC64ClK
